,0,1,2,3,4
178,0.05,0.05,0.05,0.05,0.05
179,0.03,0.03,0.03,0.03,0.03
180,0.03,0.03,0.03,0.03,0.03
181,0.01,0.01,0.01,0.01,0.01
182,0.01,0.01,0.01,0.01,0.01
183,0.03,0.03,0.03,0.03,0.03
184,0.01,0.01,0.01,0.01,0.01
185,0.01,0.01,0.01,0.01,0.01
186,0.01,0.01,0.01,0.01,0.01
187,0.01,0.01,0.01,0.03,0.01
188,0.01,0.01,0.01,0.01,0.01
189,0.05,0.05,0.05,0.03,0.05
190,0.01,0.01,0.01,0.01,0.01
191,0.01,0.01,0.01,0.01,0.01
192,0.01,0.01,0.01,0.01,0.01
193,0.03,0.01,0.01,0.01,0.01
194,0.01,0.01,0.01,0.01,0.01
195,0.01,0.01,0.01,0.01,0.01
196,0.05,0.05,0.05,0.05,0.07
197,0.01,0.03,0.01,0.01,0.03
198,0.03,0.03,0.03,0.03,0.03
199,0.03,0.03,0.03,0.03,0.03
200,0.05,0.05,0.05,0.05,0.05
201,0.01,0.03,0.01,0.03,0.01
202,0.01,0.03,0.01,0.01,0.01
203,0.03,0.03,0.03,0.03,0.03
204,0.01,0.01,0.01,0.01,0.01
205,0.05,0.05,0.05,0.05,0.05
206,0.03,0.03,0.03,0.03,0.03
207,0.03,0.03,0.03,0.03,0.03
208,0.03,0.03,0.03,0.03,0.03
209,0.01,0.03,0.01,0.01,0.01
210,0.01,0.01,0.01,0.01,0.01
211,0.01,0.01,0.01,0.01,0.01
212,0.03,0.03,0.03,0.03,0.03
213,0.01,0.01,0.01,0.01,0.01
214,0.01,0.01,0.01,0.01,0.01
215,0.01,0.01,0.01,0.01,0.03
216,0.01,0.01,0.01,0.01,0.01
217,0.03,0.03,0.03,0.03,0.03
218,0.01,0.01,0.01,0.01,0.01
219,0.01,0.01,0.01,0.01,0.01
220,0.03,0.03,0.03,0.03,0.03
221,0.07,0.05,0.07,0.07,0.05
222,0.03,0.03,0.03,0.03,0.03
223,0.01,0.01,0.01,0.01,0.01
224,0.01,0.01,0.01,0.01,0.01
225,0.01,0.01,0.01,0.01,0.01
226,0.05,0.03,0.03,0.05,0.05
227,0.03,0.05,0.05,0.05,0.05
228,0.01,0.01,0.01,0.01,0.01
229,0.03,0.03,0.03,0.03,0.03
230,0.01,0.01,0.01,0.01,0.01
231,0.01,0.01,0.01,0.01,0.01
232,0.03,0.03,0.03,0.03,0.03
233,0.03,0.03,0.03,0.05,0.05
234,0.01,0.01,0.01,0.01,0.01
235,0.03,0.03,0.03,0.03,0.03
236,0.03,0.03,0.03,0.03,0.03
237,0.01,0.01,0.01,0.01,0.01
238,0.01,0.01,0.01,0.01,0.01
239,0.03,0.03,0.03,0.03,0.03
240,0.01,0.01,0.01,0.01,0.01
241,0.01,0.01,0.03,0.01,0.01
242,0.03,0.03,0.03,0.03,0.03
243,0.03,0.03,0.03,0.03,0.03
244,0.01,0.01,0.01,0.01,0.01
245,0.01,0.01,0.01,0.03,0.03
246,0.01,0.01,0.01,0.01,0.01
247,0.03,0.03,0.03,0.03,0.03
248,0.03,0.03,0.03,0.03,0.03
249,0.03,0.01,0.03,0.01,0.03
250,0.07,0.07,0.07,0.05,0.07
251,0.01,0.05,0.03,0.05,0.01
252,0.01,0.03,0.01,0.03,0.01
253,0.01,0.03,0.01,0.03,0.01
254,0.01,0.01,0.01,0.01,0.01
